Statement,Header,Field Name,Field Value;
Statement,Data,BrokerName,;
Statement,Data,BrokerAddress,;
Statement,Data,Title,Activity Statement;
"Statement,Data,Period,""January 1, 2022 - December 31, 2022""";
"Statement,Data,WhenGenerated,""2025-04-09, 03:29:07 EDT""";
Account Information,Header,Field Name,Field Value;
Account Information,Data,Name,John Doe;
Account Information,Data,Account,U7212345;
Account Information,Data,Account Type,Individual;
Account Information,Data,Customer Type,Individual;
Account Information,Data,Account Capabilities,Margin;
Account Information,Data,Base Currency,EUR;
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change;
Realized & Unrealized Performance Summary,Data,Stocks,PHPT,0,0,0,359.52733714,-186.57959714,172.94774,0,0,0,0,0,172.94774,;
Realized & Unrealized Performance Summary,Data,Stocks,PLTR,0,0,-110.95680823,0,0,-110.95680823,0,0,0,0,0,-110.95680823,;
Realized & Unrealized Performance Summary,Data,Stocks,PND,0,0,-454.0748,768.698,0,314.6232,0,0,0,0,0,314.6232,;
Realized & Unrealized Performance Summary,Data,Stocks,QQQ3,0,204,-67,0,0,137,0,0,0,0,0,137,;
Realized & Unrealized Performance Summary,Data,Stocks,QQQS,0,6640.045,-1452.75,0,0,5187.295,0,-238.45575,0,0,-238.45575,4948.83925,;
Realized & Unrealized Performance Summary,Data,Stocks,RHMd,0,699,0,0,0,699,0,0,0,0,0,699,;
Realized & Unrealized Performance Summary,Data,Stocks,RIO1,0,290.6594,0,0,0,290.6594,0,0,0,0,0,290.6594,;
Realized & Unrealized Performance Summary,Data,Stocks,ROKU,0,0,-1026.89753645,0,0,-1026.89753645,0,0,0,0,0,-1026.89753645,;
Realized & Unrealized Performance Summary,Data,Stocks,SBER,0,0,0,0,0,0,0,-1271.0054928,0,0,-1271.0054928,-1271.0054928,;
Realized & Unrealized Performance Summary,Data,Stocks,SWKS,0,0,0,235.77078153,0,235.77078153,0,0,0,0,0,235.77078153,;
Realized & Unrealized Performance Summary,Data,Stocks,TBK,0,0,0,0,0,0,0,0,1764,0,1764,1764,;
Realized & Unrealized Performance Summary,Data,Stocks,TSN,0,0,0,0,0,0,0,0,100.804496,-142.191328,-41.386832,-41.386832,;
Realized & Unrealized Performance Summary,Data,Stocks,UNIC,0,0,-12.7,0,0,-12.7,0,0,0,0,0,-12.7,;
Realized & Unrealized Performance Summary,Data,Stocks,UNP,0,291.04579257,0,0,0,291.04579257,0,0,0,0,0,291.04579257,;
Realized & Unrealized Performance Summary,Data,Stocks,UNVB,0,0,0,0,0,0,0,0,0,-265.5252,-265.5252,-265.5252,;
Realized & Unrealized Performance Summary,Data,Stocks,UPST,0,0,-1250.24612833,0,0,-1250.24612833,0,0,0,0,0,-1250.24612833,;
Realized & Unrealized Performance Summary,Data,Stocks,VRNS,0,0,-1475.40592028,0,0,-1475.40592028,0,0,0,0,0,-1475.40592028,;
Realized & Unrealized Performance Summary,Data,Stocks,WPM,0,0,0,0,0,0,0,0,8.40816,-324.6484,-316.24024,-316.24024,;
Realized & Unrealized Performance Summary,Data,Stocks,XSDG,0,0,0,904.392,0,904.392,0,0,0,0,0,904.392,;
Realized & Unrealized Performance Summary,Data,Stocks,ZSIUEz,0,0,0,0,-502,-502,0,0,0,0,0,-502,;
Realized & Unrealized Performance Summary,Data,Total,,0,12906.74611852,-11707.86720535,8067.8701549,-3635.84313015,5630.90593792,10.75,-2157.84201656,5314.4315946,-6494.283464066,-3326.943886026,2303.962051894,;
Realized & Unrealized Performance Summary,Data,Structured Products,EURUSD 1.3046 1.295 P EUR/USD Mini Short,0,159.5,0,0,0,159.5,0,0,0,0,0,159.5,;
Realized & Unrealized Performance Summary,Data,Total,,0,159.5,0,0,0,159.5,0,0,0,0,0,159.5,;
Realized & Unrealized Performance Summary,Data,Forex,CAD,0,0.023856,-7.669936,0,0,-7.64608,0,-3.568049,0,0,-3.568049,-11.214129,;
Realized & Unrealized Performance Summary,Data,Forex,CHF,0,0.044877,0,0,0,0.044877,2.553471,0,0,0,2.553471,2.598348,;
Realized & Unrealized Performance Summary,Data,Forex,CZK,0,0,-2.013665,0,0,-2.013665,0,0,0,0,0,-2.013665,;
Realized & Unrealized Performance Summary,Data,Forex,DKK,0,0.00379,-3.831037,0,0,-3.827247,0,0,0,0,0,-3.827247,;
Realized & Unrealized Performance Summary,Data,Forex,GBP,0,2.689602,-4.070641,0,0,-1.381039,0,-0.30875,0,0,-0.30875,-1.689789,;
Realized & Unrealized Performance Summary,Data,Forex,HKD,0,0.000001,-228.281582,0,0,-228.281581,0,-0.873814,0,0,-0.873814,-229.155395,;
Realized & Unrealized Performance Summary,Data,Forex,NOK,0,0.052655,-3.997381,0,0,-3.944726,0,0,0,0,0,-3.944726,;
Realized & Unrealized Performance Summary,Data,Forex,PLN,0,0,-12.461344,0,0,-12.461344,0,0,0,0,0,-12.461344,;
Realized & Unrealized Performance Summary,Data,Forex,SEK,0,0,-2.245025,0,0,-2.245025,0,-0.000002,0,0,-0.000002,-2.245027,;
Realized & Unrealized Performance Summary,Data,Forex,USD,0,0,-8854.166099,0,0,-8854.166099,0,-84.211547,0,0,-84.211547,-8938.377646,;
Realized & Unrealized Performance Summary,Data,Total,,0,2.814781,-9118.736729,0,0,-9115.921948,2.553471,-88.962162,0,0,-86.408691,-9202.330639,;
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,13069.06089952,-20826.60393435,8067.8701549,-3635.84313015,-3325.51601008,13.303471,-2246.80417856,5314.4315946,-6494.283464066,-3413.352577026,-6738.868587106,;
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,;
Cash Report,Data,Starting Cash,Base Currency Summary,-51574.925182549,-51574.925182549,0,;
Cash Report,Data,Commissions,Base Currency Summary,-355.73009764,-355.73009764,0,;
Cash Report,Data,Deposits,Base Currency Summary,741.615,741.615,0,;
Cash Report,Data,Withdrawals,Base Currency Summary,-8000,-8000,0,;
Cash Report,Data,Dividends,Base Currency Summary,2757.79122,2757.79122,0,;
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary,-856.2183496,-856.2183496,0,;
Cash Report,Data,Trades (Sales),Base Currency Summary,255338.50806773,255338.50806773,0,;
Cash Report,Data,Trades (Purchase),Base Currency Summary,-187097.70067474,-187097.70067474,0,;
Cash Report,Data,Other Fees,Base Currency Summary,-0.560112,-0.560112,0,;
Cash Report,Data,Payment In Lieu of Dividends,Base Currency Summary,150.7218408,150.7218408,0,;
Cash Report,Data,Transaction Fees,Base Currency Summary,-14.90977808,-14.90977808,0,;
